Avgc,,Betweenness,,,,,,Eigenvector,,,,,,PageRank,,,,
,,Seed,25%,50%,75%,100%,,Seed,25%,50%,75%,100%,,Seed,25%,50%,75%,100%
"0.00305112439864
",,90,21335,29375,37507,86431,,60,24404,32666,40518,89110,,85,20494,28595,36736,90852
"0.00462541424928
",,90,22031,29828,38233,97539,,100,23562,31768,39964,89194,,90,19798,27553,35642,82128
"0.0041264861536
",,70,22158,30301,38156,93003,,70,26687,35002,43037,92655,,65,21197,28903,36898,91544
"0.00447075263968
",,80,22471,30523,38760,86594,,100,22683,30773,38999,99722,,75,21416,29485,37359,91947
"0.00397663358169
",,80,22530,30867,38865,95104,,85,24580,33027,41261,93896,,65,22739,30875,38740,94293
"0.00458998110938
",,100,20558,28383,36585,98283,,100,24202,32530,40603,91228,,75,21186,29158,37040,93542
"0.00397270760801
",,100,21208,29475,37744,86805,,95,23004,31153,39408,93836,,70,21668,29831,37988,96237
"0.00324339476084
",,100,19734,27633,36024,80466,,100,23613,32030,40501,,,95,19195,27239,35275,82524
"0.00351280720591
",,100,20543,28510,36749,89707,,100,23677,31847,40083,,,95,19580,27554,35712,95396
"0.00291536523662
",,70,21793,30497,38971,97285,,70,25804,34226,42583,90909,,70,22674,30853,39019,97712
"0.00422599591655
",,80,22435,30672,38621,97107,,95,23746,31737,39772,93475,,80,20391,28368,35930,81672
"0.00468611254461
",,95,19844,27620,35796,97541,,95,23390,31277,39423,94747,,95,20645,28648,36747,98181
"0.00341952488543
",,65,23767,32103,40284,90546,,95,24352,32849,41019,95082,,75,20502,28355,36371,92478
"0.0048935666077
",,95,20850,29381,37540,99015,,100,22295,30171,38119,97350,,100,19689,27492,35114,93934
"0.00450652765035
",,95,20039,28032,36234,82200,,90,23731,31455,39546,95161,,100,19033,26979,34982,84360
"0.00483296691223
",,100,20671,28615,36773,84123,,100,22860,30831,38883,96878,,70,20810,28962,36958,89448
"0.00479399961362
",,95,20548,28502,36234,95686,,85,25232,33224,41278,91950,,50,24680,32567,40656,94307
"0.00352362562663
",,90,21343,29302,37397,93941,,100,23707,32043,40256,93676,,85,19946,27924,35976,96974
"0.00451712151237
",,70,23794,31803,39821,91013,,100,22604,30750,38636,99934,,70,21377,29720,37777,94202
"0.00447526303066
",,85,21678,29532,37581,90255,,65,26082,34238,42146,97516,,70,22001,29979,38170,90930
"0.00422693558058
",,60,24600,32418,40589,91758,,100,23356,31994,40174,97471,,100,18889,26992,35022,88459
"0.00309767061124
",,85,21514,29655,37591,,,85,25996,34188,42437,,,95,18734,26672,34877,
"0.00485085759735
",,100,19509,27489,35607,80403,,95,23502,31545,39543,92134,,80,20026,28115,35865,92202
"0.00416867604155
",,75,22450,30242,38357,95659,,100,23017,31581,39529,98260,,85,20216,27992,35899,86724
"0.00388364186208
",,80,23601,31964,39945,87349,,100,24292,32532,40526,89118,,85,19571,27236,35354,81593
"0.00334190955192
",,85,21049,28945,36661,95692,,100,22764,31236,39605,96425,,95,18945,26948,34885,78515
"0.00420431673231
",,90,21136,29138,37087,92014,,85,25466,33413,41200,89506,,100,18867,26793,34522,90148
"0.0045071826287
",,90,21055,29033,37084,87572,,65,28150,36214,44283,99696,,100,19602,27521,35389,84772
"0.00461257565602
",,95,21192,29245,37373,81789,,100,23954,31997,39891,93433,,65,22568,30239,38358,96974
