Avgc,,Betweenness,,,,,,Eigenvector,,,,,,PageRank,,,,
,,Seed,25%,50%,75%,100%,,Seed,25%,50%,75%,100%,,Seed,25%,50%,75%,100%
"0.00292175634769
",,90,20895,29421,37317,90810,,95,26985,35072,43129,95984,,65,20961,29375,37638,91884
"0.00369069281718
",,75,22380,30668,38748,97198,,95,23025,31020,39151,87896,,80,21236,29266,37502,90699
"0.00307007718597
",,95,20637,28773,36906,88058,,80,25464,33849,42206,95682,,100,19240,27464,35919,93553
"0.00403514265913
",,95,21146,29421,37394,95533,,90,24073,32620,40672,95571,,100,18975,26864,34789,83498
"0.00441303678802
",,95,20908,28795,36802,93108,,90,24053,32080,40029,98874,,85,20994,28698,36505,95888
"0.00461939923354
",,100,20143,27992,36276,89164,,80,24999,33076,40827,93812,,95,19817,27784,35639,92815
"0.00360008777704
",,95,21090,29267,37571,86797,,90,24024,32164,40241,84997,,95,19665,27986,36026,92204
"0.00416295738803
",,95,20829,28739,36615,82766,,100,23388,31637,39879,96043,,90,20241,28137,36149,93680
"0.0036587905302
",,85,21416,29665,37908,91920,,75,23498,32056,40335,88645,,85,19682,27454,35511,78735
"0.00458078447668
",,95,21211,29192,37205,90840,,85,22892,31140,39486,87957,,55,24115,32544,40559,97858
"0.0045590476918
",,100,21802,29875,37867,93957,,100,23975,32134,40301,88624,,100,18500,26299,34358,90474
"0.00489185972973
",,75,22121,30170,38189,91237,,90,24174,31922,39685,98439,,90,19439,27370,35427,87009
"0.00446864560745
",,80,22363,30424,38499,81427,,60,27292,35641,43695,96873,,100,20299,28161,35924,88678
"0.00317404840458
",,80,22841,31224,39304,98258,,65,26827,35230,43484,96672,,100,17976,26154,34165,88572
"0.00387158903063
",,100,19628,27393,35459,88821,,85,22214,30394,38369,93122,,90,20476,28421,36502,91249
"0.00353938862485
",,95,21379,29445,37332,90942,,85,23427,31832,40317,98429,,100,18250,26133,34475,92940
"0.00488194352823
",,95,19024,27018,34869,87180,,90,23579,31411,39308,95675,,95,20440,28278,36027,93538
"0.00322465761096
",,95,19889,28186,36253,97278,,65,28504,37277,45558,99083,,80,20754,28752,36909,85011
"0.00402073451121
",,95,21232,28959,36872,94868,,90,24287,32564,40703,89302,,70,21252,29237,37065,84221
"0.00421869924173
",,95,19395,27563,35679,91673,,95,23958,32359,40615,93812,,90,19828,27841,35735,95996
"0.00409962476722
",,100,20376,28516,36229,91777,,95,22818,30687,38910,90870,,100,19066,26979,35097,91726
"0.00328799498358
",,90,21404,29756,38039,92719,,90,23941,32135,40491,97259,,90,20332,28333,36609,97982
"0.00311147781639
",,70,24136,32565,40956,94155,,100,24483,33113,41311,92887,,60,23354,31724,39912,90019
"0.00406990644943
",,95,20106,28326,36618,94431,,85,23924,31888,39600,93612,,30,27007,34955,43044,95499
"0.00374825044725
",,95,19448,26985,34972,80471,,100,22296,30514,38657,96443,,95,19198,27415,35442,93293
"0.00355600080759
",,90,20886,29052,37072,84841,,100,22898,31023,38902,94486,,100,20414,28451,36458,98034
"0.00325002330105
",,90,20147,28226,36085,98392,,85,24781,33251,41412,91633,,85,21009,28975,37026,93452
"0.00310914415139
",,100,21429,29550,37954,89476,,100,23685,32095,40253,99706,,95,19964,27982,35936,85776
"0.00382471192156
",,75,21995,30177,38172,91703,,90,23881,31755,39758,93140,,70,20866,28847,36939,88932
"0.00447801565554
",,100,19704,27465,35636,98884,,85,24774,32906,41076,94632,,90,19632,27496,35938,91337
"0.00296731908146
",,70,23297,31604,39779,94241,,95,23403,31464,39749,92917,,85,20275,28729,37150,92133
"0.00444045324899
",,100,19647,27474,35535,99711,,95,22969,31263,39399,99982,,85,20160,28005,36142,93205
"0.00364717468185
",,95,21090,29442,37324,88582,,95,23516,31743,39853,98983,,80,21028,29254,37128,92355
"0.00408769455994
",,85,22185,30214,38205,89848,,90,25005,33210,41309,95460,,85,19567,27747,35895,88107
"0.00331144209657
",,95,20013,28061,36143,98285,,95,23159,31591,39650,94675,,90,19409,27455,35653,91249
"0.00471679025919
",,95,20201,28265,36067,86078,,80,24793,32799,40948,98445,,55,24451,32670,40614,96837
"0.00422576216788
",,95,19716,27696,35909,96039,,85,23245,31352,39260,93107,,100,18558,26686,34594,85492
"0.003355609793
",,100,20538,28905,36819,97351,,80,23822,31893,39964,88845,,95,19418,27748,35919,87490
"0.00353701568345
",,80,21478,29590,37641,97622,,80,25871,34056,42262,99226,,75,21500,29681,37598,95411
"0.00417198437074
",,100,20498,28606,36780,94710,,100,23720,31824,40205,84419,,95,20464,28602,36345,89905
"0.00347724759101
",,90,21209,29252,37097,82478,,85,25798,34336,42731,95200,,100,19372,27361,35464,93209
"0.00434623132867
",,100,19432,27425,35634,98367,,90,23515,31466,39467,96544,,100,20069,28296,36182,95314
"0.00391060331118
",,100,19740,28220,36084,92355,,90,23099,31418,39004,86842,,90,19703,27619,35500,93355
